"09290: Svevestøv, organiske miljøgifter fra norsk økonomisk aktivitet, etter statistikkvariabel, næring, komponent og år",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,Svevestøv - PM10,23,45,49,92,69,85,101,98,108,97,59,68,61,60,78,92,110,106,115,114,117,91,62,75
,,"Svevestøv - PM2,5",14,21,25,66,58,70,79,78,84,76,55,62,53,53,62,71,82,79,83,81,83,66,47,60
,,PAH-4,15,18,5,18,17,20,23,24,26,25,20,22,26,25,31,34,39,39,40,40,40,38,35,32
,,Dioksin,20,31,509,298,62,57,64,55,100,76,126,77,190,209,349,232,299,598,387,124,2061,2685,115,186
,Bygge- og anleggsvirksomhet,Svevestøv - TSP,10499,10107,10242,10012,10333,11523,11454,13260,13193,12640,11648,12398,13164,13253,13081,13153,13876,14663,13599,13692,12912,12458,14008,12563
,,Svevestøv - PM10,3016,2937,2990,2873,2885,3171,3156,3610,3588,3272,3016,3131,3420,3372,3201,3292,3445,3595,3297,3291,3138,2981,3515,3137
,,"Svevestøv - PM2,5",748,724,721,682,641,663,672,718,690,605,527,533,571,551,497,491,480,483,435,411,379,354,401,357
,,PAH-4,117,125,128,125,127,130,142,153,154,147,142,156,176,183,186,199,210,224,217,223,210,221,224,204
,,Dioksin,61,60,69,112,58,66,76,76,79,63,56,57,67,71,74,75,76,82,89,81,69,73,73,70
,Varehandel og reparasjon av motorvogner,Svevestøv - TSP,3543,3475,3431,3362,3321,3379,3414,3564,3502,3379,3435,3516,3355,3364,3287,3294,2783,2649,2838,2772,2595,2601,2532,2589
,,Svevestøv - PM10,1926,1877,1850,1806,1782,1809,1833,1915,1873,1803,1830,1863,1775,1785,1713,1706,1445,1368,1461,1443,1356,1355,1305,1347
,,"Svevestøv - PM2,5",576,544,531,509,498,499,513,539,513,487,489,482,454,463,398,381,329,299,312,332,319,312,281,308
,,PAH-4,94,99,100,97,98,98,100,105,105,101,109,111,114,114,107,113,118,113,110,112,101,100,94,86
,,Dioksin,98,95,93,99,97,95,107,107,110,117,142,139,122,172,71,81,74,53,74,169,205,185,143,219
,Overnattings- og serveringsvirksomhet,Svevestøv - TSP,12,12,12,11,11,10,10,11,10,9,9,8,7,6,5,5,5,4,4,3,2,2,2,2
,,Svevestøv - PM10,12,12,12,11,11,10,10,11,10,9,9,8,7,6,5,5,5,4,4,3,2,2,2,2
,,"Svevestøv - PM2,5",12,12,12,11,10,10,10,11,10,9,8,8,7,6,5,5,5,4,4,3,2,2,2,2
,,PAH-4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,5,5,5,4,4,4,3
,,Dioksin,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
,Post og telekommunikasjon,Svevestøv - TSP,411,407,404,395,390,397,401,420,416,404,413,423,406,406,404,408,346,331,355,342,319,322,316,320
,,Svevestøv - PM10,212,210,208,203,200,204,206,216,213,207,211,215,207,207,205,207,175,168,180,173,161,163,159,161
,,"Svevestøv - PM2,5",46,46,45,43,43,43,44,46,44,42,43,42,41,40,39,38,33,32,33,32,29,29,28,28
,,PAH-4,5,5,5,5,5,5,5,6,6,6,7,6,7,7,7,7,8,8,8,8,7,8,8,7
,,Dioksin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2
,Forlagsvirksomhet,Svevestøv - TSP,0,0,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0
,,Svevestøv - PM10,0,0,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0
,,"Svevestøv - PM2,5",0,0,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0
,,PAH-4,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
,,Dioksin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Kringkasting og film-, video- og musikkproduksjon",Svevestøv - TSP,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
,,Svevestøv - PM10,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
,,"Svevestøv - PM2,5",2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
